City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Navadwip,IN,23.4167,88.3667,81.64,75,47,9.8,scattered clouds
157,Nemuro,JP,43.3236,145.575,33.51,90,100,18.23,overcast clouds
158,Vilcun,CL,-38.65,-72.2333,64.53,45,0,5.77,clear sky
159,Ostrovnoy,RU,68.0531,39.5131,28.6,95,84,13.15,broken clouds
160,Koumac,NC,-20.5667,164.2833,74.28,80,14,2.1,few clouds
161,Kargasok,RU,59.0556,80.8572,38.77,95,99,7.38,overcast clouds
162,Itarema,BR,-2.9248,-39.9167,81.27,79,79,8.34,broken clouds
163,Talnakh,RU,69.4865,88.3972,20.7,94,84,6.6,broken clouds
164,Grindavik,IS,63.8424,-22.4338,46.87,100,100,31.07,light intensity drizzle
165,Fernley,US,39.608,-119.2518,62.74,21,0,5.01,clear sky
166,Palmer,US,42.1584,-72.3287,67.37,18,63,7.0,broken clouds
167,Urdoma,RU,61.7533,48.5442,26.55,87,95,7.56,overcast clouds
168,Ahipara,NZ,-35.1667,173.1667,56.62,74,100,4.27,overcast clouds
169,Kaeo,NZ,-35.1,173.7833,53.33,93,100,3.24,overcast clouds
170,Oranjemund,NA,-28.55,16.4333,56.26,85,0,15.5,clear sky
171,Ancud,CL,-41.8697,-73.8203,62.22,79,39,5.5,scattered clouds
172,Milkovo,RU,54.7167,158.6167,23.61,72,71,5.21,broken clouds
173,Kamen-Na-Obi,RU,53.7884,81.3423,46.13,67,1,6.42,clear sky
174,Lakhipur,IN,26.0299,90.3041,77.85,81,39,1.92,scattered clouds
175,Kidal,ML,18.4411,1.4078,87.24,9,2,11.56,clear sky
176,Bathsheba,BB,13.2167,-59.5167,79.68,72,100,17.6,overcast clouds
177,Port Blair,IN,11.6667,92.75,81.45,74,1,2.89,clear sky
178,Bandiagara,ML,14.3501,-3.6104,95.99,7,63,7.34,broken clouds
179,Iqaluit,CA,63.7506,-68.5145,9.7,66,0,15.99,clear sky
180,Tromso,NO,69.6496,18.957,35.62,75,0,3.44,clear sky
181,Marienburg,PL,54.0359,19.0266,40.87,84,100,15.93,overcast clouds
182,Myitkyina,MM,25.3833,97.4,70.03,81,91,3.38,overcast clouds
183,Mar Del Plata,AR,-38.0023,-57.5575,64.42,83,0,17.0,clear sky
184,Te Anau,NZ,-45.4167,167.7167,55.94,82,100,9.35,overcast clouds
185,Nyurba,RU,63.2842,118.3319,15.06,96,100,5.84,overcast clouds
186,Nouadhibou,MR,20.931,-17.0347,63.75,89,0,21.56,clear sky
187,Bubaque,GW,11.2833,-15.8333,74.5,75,6,17.9,clear sky
188,Dunedin,NZ,-45.8742,170.5036,62.8,49,59,8.01,broken clouds
189,Yacuiba,BO,-22.038,-63.6797,72.14,48,66,5.91,broken clouds
190,Coahuayana,MX,18.7333,-103.6833,90.07,39,100,8.21,overcast clouds
191,Kloulklubed,PW,7.0419,134.2556,75.7,78,100,5.53,overcast clouds
192,Jeannette,US,40.3281,-79.6153,70.38,23,0,28.77,clear sky
193,Navahrudak,BY,53.6,25.8333,40.78,94,100,13.71,overcast clouds
194,Maler Kotla,IN,30.5167,75.8833,77.25,25,0,7.11,clear sky
195,Namibe,AO,-15.1961,12.1522,71.83,75,81,6.44,broken clouds
196,Batagay-Alyta,RU,67.8006,130.4114,-8.48,97,22,6.33,few clouds
197,Saldanha,ZA,-33.0117,17.9442,58.66,58,6,18.61,clear sky
198,Qaanaaq,GL,77.484,-69.3632,-1.52,90,100,6.78,overcast clouds
199,Svetlogorsk,BY,52.6333,29.7333,48.7,92,100,11.54,light rain
200,Iquira,CO,2.6487,-75.6346,79.92,64,88,5.37,overcast clouds
201,Touros,BR,-5.1989,-35.4608,82.44,76,17,10.38,few clouds
202,Tangwani,PK,28.2787,68.9972,87.67,4,3,8.52,clear sky
203,Necochea,AR,-38.5473,-58.7368,66.27,52,0,8.79,clear sky
204,Zhezkazgan,KZ,47.8043,67.7144,61.72,24,98,7.0,overcast clouds
205,Lagoa,PT,39.05,-27.9833,58.77,76,100,17.78,overcast clouds
206,Hay River,CA,60.8156,-115.7999,24.96,80,100,7.36,overcast clouds
207,Nanortalik,GL,60.1432,-45.2371,27.0,67,92,4.76,overcast clouds
208,Half Moon Bay,US,37.4636,-122.4286,73.42,65,0,17.27,clear sky
209,Faanui,PF,-16.4833,-151.75,81.73,72,4,18.03,clear sky
210,Freeport,US,40.6576,-73.5832,71.49,36,2,15.99,clear sky
