City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Palu,ID,76.75,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
248,Ormara,PK,79.66,scattered clouds,25.2088,64.6357,Kenara Colony house for Rent
249,Mecca,SA,82.94,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
252,Arraial Do Cabo,BR,74.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
255,Awjilah,LY,81.01,overcast clouds,29.1081,21.2869,المنزل
258,Camana,PE,70.81,broken clouds,-16.6228,-72.7111,Hostal Morales
259,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
264,Ca Mau,VN,79.11,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
265,Guerrero Negro,MX,66.65,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
266,Mayo,US,74.08,clear sky,38.8876,-76.5119,Resorts Resource Group International
268,Port Lincoln,AU,65.53,clear sky,-34.7333,135.8667,Port Lincoln Hotel
275,Hualmay,PE,71.6,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
277,Marawi,PH,67.57,scattered clouds,7.9986,124.2928,Derogongan Residence
279,Pemba,MZ,81.59,few clouds,-12.974,40.5178,Guesthouse Samotina
281,Carnarvon,AU,71.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
283,Parrita,CR,86.27,overcast clouds,9.5201,-84.3225,Beso del Viento
284,Gizo,SB,81.63,overcast clouds,-8.103,156.8419,Imagination Island
288,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
289,Hithadhoo,MV,83.07,broken clouds,-0.6,73.0833,Scoop Guest House
290,Labuhan,ID,78.19,overcast clouds,-6.8844,112.2051,DoubleFAG
291,Chimbote,PE,71.02,clear sky,-9.0853,-78.5783,Hotel Briliá
292,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
294,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
295,Sao Gabriel Da Cachoeira,BR,76.8,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
296,Minna,NG,88.83,light rain,9.6139,6.5569,Royal Park hotel & suites
297,Komsomolskiy,UZ,69.96,clear sky,40.4272,71.7189,Ikathouse
298,Kutum,SD,78.28,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
302,Porto Velho,BR,86.05,scattered clouds,-8.7619,-63.9039,Ecos Hotel Conforto
303,Bowen,AU,68.43,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
304,Mitsamiouli,KM,82.56,broken clouds,-11.3847,43.2844,Foyer ADM
311,Nsanje,MW,76.41,clear sky,-16.92,35.262,Nsanje Discovery Lodge
312,Diego De Almagro,CL,72.59,clear sky,-26.3667,-70.05,hotel luna del desierto
316,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
318,Georgetown,MY,82.33,thunderstorm,5.4112,100.3354,Cititel Penang
324,Matinha,BR,81.05,scattered clouds,-3.1006,-45.0336,Hotel do Posto e Conveniência
328,Cuauhtemoc,MX,78.64,overcast clouds,28.4167,-106.8667,Motel Tarahumara Inn
